,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Leszczyńskich,Leszczyńskich,,ZASPA-ROZSTAJE,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Leszka Białego,Leszka Białego,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Lęborska,Lęborska,,PRZYMORZE MAŁE ,x,,x,,x,,x,,,x,,,x,,x,,x,,4
Majdera,księdza Jana Majdera,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Majewskich,Majewskich,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Malborska,Malborska,,PRZYMORZE MAŁE,x,,x,,x,,x,,,x,,,x,,x,,x,,4
Meissnera,Janusza Meissnera,"6, 11, 13, 23E",ZASPA-ROZSTAJE,x,,x,,x,,,x,,,x,,x,,x,,x,,4
Meissnera,Janusza Meissnera,"oprócz 6, 11, 13, 23E",ZASPA-ROZSTAJE,x,,,x,,,,x,,,x,,x,,,x,,,4
Morawska,Morawska,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Mściwoja II,Mściwoja II,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Nagórskiego,Jana Nagórskiego,,ZASPA-MŁYNIEC,,x,,,x,,x,,,x,,,,x,,,x,,4
Necla,Augustyna Necla,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Obotrycka,Obotrycka,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Obrońców Wybrzeża,Obrońców Wybrzeża,,PRZYMORZE WIELKIE ,,x,,,x,,,x,,,,x,,x,,,x,,4
Olsztyńska,Olsztyńska,,PRZYMORZE WIELKIE ,x,,,x,,,,x,,,,x,x,,,x,,,4
Opolska,Opolska,,PRZYMORZE WIELKIE ,x,,,x,,,,x,,,,x,x,,,x,,,4
Park Jana Pawła II,Park im. Jana Pawła II ,Inne,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Park Millenium Gdańska ,Park Millenium Gdańska ,Inne,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Piastowska,Piastowska,"20-88 parz., 19-107 nieparz.",PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Piastowska,Piastowska,90-108 parz.,PRZYMORZE WIELKIE,x,,,x,,,x,,,x,,,x,,,x,,,4
Pilotów,Pilotów,,ZASPA-MŁYNIEC,,x,,,x,,x,,,x,,,,x,,,x,,4
Plac Najświętszej Maryi Panny,Plac Najświętszej Maryi Panny,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Plac Trzeciego Tysiąclecia,Plac Trzeciego Tysiąclecia,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Polonii Gdańskiej,Polonii Gdańskiej,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Powstańców Wielkopolskich,Powstańców Wielkopolskich,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Poznańska,Poznańska,,PRZYMORZE MAŁE,,x,,,x,,x,,,x,,,,x,,,x,,4
Pucka,Pucka,,PRZYMORZE MAŁE,,x,,,x,,x,,,x,,,,x,,,x,,4
Rzeczypospolitej,Aleja Rzeczypospolitej,2-8 parz.,PRZYMORZE MAŁE,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Rzeczypospolitej,Aleja Rzeczypospolitej,1-13 nieparz.,PRZYMORZE WIELKIE,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Rzeczypospolitej,Aleja Rzeczypospolitej,21-33,ZASPA-ROZSTAJE,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Rzeczypospolitej,Aleja Rzeczypospolitej,strona zach. niezamieszkała,ZASPA-MŁYNIEC,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Rzepichy,Rzepichy,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Sambora,Sambora,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Skarżyńskiego,Stanisława Skarżyńskiego,,ZASPA-MŁYNIEC,,x,,,x,,x,,,x,,,,x,,,x,,4
Słowiańska,Słowiańska,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Słupska,Słupska,,PRZYMORZE MAŁE,,x,,,x,,x,,,x,,,,x,,,x,,4
Solikowskiego,Jana Solikowskiego,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Startowa,Startowa,,ZASPA-MŁYNIEC,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Subisława,Subisława,1-18,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Szczecińska,Szczecińska,,PRZYMORZE MAŁE,,x,,,x,,x,,,x,,,,x,,,x,,4
Śląska,Śląska,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Świętopełka,Świętopełka,,PRZYMORZE MAŁE,,x,,x,,,x,,,x,,,,x,,x,,,4
Tolkmicka,Tolkmicka,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Wieczorkiewicza,Henryka Wieczorkiewicza,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Wika-Czarnowskiego,Anastazego Wika-Czarnowskiego,,PRZYMORZE WIELKIE ,x,,x,,x,,,x,,,x,,x,,x,,x,,4
Władysławowska,Władysławowska,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Zgody I,Zgody I,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Zgody II,Zgody II,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Ziemowita,Ziemowita,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Żwirki i Wigury,Żwirki i Wigury,,ZASPA-ROZSTAJE,x,,x,,x,,,x,,,,x,x,,x,,x,,4
,,,,,,,,,,,,,,,,,,,,,,
,,,Legenda:,,,,,Brak zabudowy wielolokalowej na danej ulicy,,,,,,,,,,,,,,
,,,,,,,,Zmiana dnia wywozu,,,,,,,,,,,,,,
