,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Arkońska,Arkońska,,PRZYMORZE MAŁE,,x,,,x,,x,,,x,,,,x,,,x,,4
Bajana,Jerzego Bajana,,ZASPA-MŁYNIEC,,x,,,x,,x,,,x,,,,x,,,x,,4
Beniowskiego,Maurycego Beniowskiego,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Bora-Komorowskiego,gen. Bora-Komorowskiego,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Budziszów,Budziszów,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Burzyńskiego,Zbigniewa Burzyńskiego,,ZASPA-ROZSTAJE,x,,,x,,,,x,,,,x,x,,,x,,,4
Bydgoska,Bydgoska,,PRZYMORZE MAŁE,x,,x,,x,,x,,,x,,,x,,x,,x,,4
Bzowa,Bzowa,,PRZYMORZE MAŁE,x,,x,,x,,x,,,x,,,x,,x,,x,,4
Chłopska,Chłopska,1-57 nieparz.,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Chłopska,Chłopska,2-46 parz.,PRZYMORZE WIELKIE,x,,,x,,,,x,,,,x,x,,,x,,,4
Chociszewskiego,Józefa Chociszewskiego,oprócz nr 15 i 17,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Chociszewskiego,Józefa Chociszewskiego,nr 15 i 17,PRZYMORZE MAŁE,,,x,,,,x,,,,,,,,x,,,,4
Ciołkowskiego,Konstantego Ciołkowskiego,,ZASPA-ROZSTAJE,x,,,x,,,,x,,,,x,x,,,x,,,4
Czarny Dwór,Czarny Dwór,1-12,PRZYMORZE WIELKIE,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Czerwony Dwór,Czerwony Dwór,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Darłowska,Darłowska,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Dąbrowszczaków,Dąbrowszczaków,,PRZYMORZE WIELKIE ,x,,,x,,,,x,,,,x,x,,,x,,,4
Droszyńskiego,Leona Droszyńskiego,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Drzewieckiego,Stefana Drzewieckiego,,ZASPA-ROZSTAJE,x,,,x,,,,x,,,,x,x,,,x,,,4
Dygasińskiego,Adolfa Dygasińskiego,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Dywizjonu 303,Dywizjonu 303,,ZASPA-MŁYNIEC,,x,,,x,,,x,,,,x,,x,,,x,,4
Fromborska,Fromborska,,PRZYMORZE MAŁE,,x,,x,,,x,,,x,,,,x,,x,,,4
Hynka,Franciszka Hynka,,ZASPA-MŁYNIEC,x,,,x,,,,x,,,,x,x,,,x,,,4
Jagiellońska,Jagiellońska,,PRZYMORZE WIELKIE ,x,,,x,,,,x,,,,x,x,,,x,,,4
Jana Pawła II,Aleja Jana Pawła II,3-9 nieparz. i 20-50 parz.,ZASPA-ROZSTAJE,,x,,,x,,,x,,,,x,,x,,,x,,4
Jana Pawła II,Aleja Jana Pawła II,2-6 parz.,ZASPA-MŁYNIEC,x,,,x,,,,x,,,,x,x,,,x,,,4
Jantarowa,Jantarowa,strona niezamieszkała,PRZYMORZE WIELKIE,,,,,,,,,,,,,,,,,,,4
Jelitkowski Dwór,Jelitkowski Dwór,,PRZYMORZE WIELKIE ,x,,x,,x,,,x,,,,x,x,,x,,x,,4
Jeżewskiego,Kazimierza Jeżewskiego,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Kętrzyńskiego,Wojciecha Kętrzyńskiego,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Kołobrzeska,Kołobrzeska,"2-40 parz., 1-43 nieparz.",PRZYMORZE MAŁE,,x,,,x,,x,,,x,,,,x,,,x,,4
Kołobrzeska,Kołobrzeska,"42 do końca parz., 45 do końca nieparz.",PRZYMORZE WIELKIE,,x,,,x,,,x,,,,x,,x,,,x,,4
Kombatantów,Kombatantów,,ZASPA-ROZSTAJE,,x,,,x,,,x,,,,x,,x,,,x,,4
Korczaka,Janusza Korczaka,,ZASPA-ROZSTAJE,,,,,,,,,,,,,,,,,,,4
Krynicka,Krynicka,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
Krzywoustego,Bolesława Krzywoustego,,PRZYMORZE MAŁE,x,,,x,,,x,,,x,,,x,,,x,,,4
Kupały,Kupały,,PRZYMORZE MAŁE,,,,,,,,,,,,,,,,,,,4
