,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pe?na],Numery,Dzielnica,Pn,Wt,?r,Cz,Pt,So,Pn,Wt,?r,Cz,Pt,So,Pn,Wt,?r,Cz,Pt,So,sek.
Rybo?owców,Rybo?owców,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Rycerska,Rycerska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Rze?nicka,Rze?nicka,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Sadowa,Sadowa,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Salwator,Salwator,,?RÓDMIE?CIE,,x,,,x,,,x,,,x,,,x,,,x,,2
Sempo?owskiej,Stefanii Sempo?owskiej,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Seredy?skiego,Mariana Seredy?skiego,,?RÓDMIE?CIE,,x,,,x,,x,,x,,x,,,x,,,x,,2
Sielska,Sielska,,LETNICA,,,,,,,,,,,,,,,,,,,2
Sienna,Sienna,"2-26 parz., 1-37 nieparz.",PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Sienna,Sienna,"28 do ko?ca parz., 39 do ko?ca nieparz.",STOGI ,,x,,,x,,x,,,x,,,,x,,,x,,2
Sienna Grobla,Sienna Grobla,,?RÓDMIE?CIE,x,,,x,,,,x,,,x,,x,,,x,,,2
Siennicka,Siennicka,10-27,PRZERÓBKA,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Siennicka,Siennicka,1-5; 30 do ko?ca,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Sieroca,Sieroca,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Skiby,Skiby,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
Skwer Harcerzy Polskich,Skwer im. Harcerzy Polskich w b. Wolnym Mie?cie Gda?sku ,Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Skwer Jankowskiego ,Skwer ksi?dza Henryka Jankowskiego ,Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Skwer Niemena ,Skwer im. Czes?awa Niemena ,Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
S?odowników,S?odowników,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
S?omiana,S?omiana,,?RÓDMIE?CIE,x,,x,,x,x,x,,,x,,,x,,x,,x,x,2
Sokola,Sokola,,STOGI ,,x,,,x,,x,,,x,,,,x,,,x,,2
Solec,Solec,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Spadzista,Spadzista,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Spichrzowa,Spichrzowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Spokojna,Spokojna,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Stajenna,Stajenna,,?RÓDMIE?CIE,x,,x,,x,x,x,,,x,,,x,,x,,x,x,2
Stalowa,Stalowa,,LETNICA,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Stara Stocznia,Stara Stocznia,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Stara Twierdza,Stara Twierdza,,PRZERÓBKA,,,,,,,,,,,,,,,,,,,2
Stare Domki,Stare Domki,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Starowiejska,Starowiejska,,LETNICA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Starowi?lna,Starowi?lna,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Stary Dwór,Stary Dwór,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
St?giewna,St?giewna,,?RÓDMIE?CIE,,x,,,x,,,x,,,x,,,x,,,x,,2
St?pkarska,St?pkarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Stolarska,Stolarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Straganiarska,Straganiarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Strajku Dokerów,Strajku Dokerów,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Stryjewskiego,Wilhelma Stryjewskiego,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Strzelecka,Strzelecka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Sucha,Sucha,,LETNICA,,,,,,,,,,,,,,,,,,,2
Sucharskiego,mjr. Henryka Sucharskiego,,PRZERÓBKA,,x,,,x,,x,,,x,,,,x,,,x,,2
Sukiennicza,Sukiennicza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Swojska,Swojska,,M?YNISKA,,,,,,,,,,,,,,,,,,,2
Szafarnia,Szafarnia,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Szczygla,Szczygla,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Szeroka,Szeroka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Szewska,Szewska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Szklana Huta,Szklana Huta,oprócz 6,LETNICA,,x,,,x,,,x,,,x,,,x,,,x,,2
Szklana Huta,Szklana Huta,6,LETNICA,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Szklary,Szklary,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Szkolna,Szkolna,,NOWY PORT,,,,,,,,,,,,,,,,,,,2
Szopy,Szopy,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Szpaki,Szpaki,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Szpitalna,Szpitalna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Szuwary,Szuwary,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
?luza,?luza,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
?nie?na,?nie?na,,LETNICA,x,,,x,,,,x,,,x,,x,,,x,,,2
?w. Barbary,?w. Barbary,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
?w. Ducha,?w. Ducha,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
?w. Piotra,?w. Piotra,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
?w. Trójcy,?w. Trójcy,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
?wi?toja?ska,?wi?toja?ska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Tamka,Tamka,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Tandeta,Tandeta,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Targ Drzewny,Targ Drzewny,,?RÓDMIE?CIE,x,,x,,x,,x,,,,x,,x,,x,,x,,2
Targ Ma?lany,Targ Ma?lany,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Targ Rakowy,Targ Rakowy,,?RÓDMIE?CIE,x,,x,,x,,x,,,,x,,x,,x,,x,,2
Targ Rybny,Targ Rybny,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Targ Sienny,Targ Sienny,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Targ W?glowy,Targ W?glowy,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Tartaczna,Tartaczna,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Teatralna,Teatralna,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Tkacka,Tkacka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Tobiasza,Tobiasza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Tokarska,Tokarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Toru?ska,Toru?ska,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Twarda,Twarda,,M?YNISKA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
U Furty,U Furty,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Uczniowska,Uczniowska,1-44,LETNICA,,x,,,x,,,x,,,x,,,x,,,x,,2
Ugory,Ugory,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
U?a?ska,U?a?ska,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Ustronie,Ustronie,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wa?owa,Wa?owa,,?RÓDMIE?CIE,x,,,x,,,x,,,x,,,x,,,x,,,2
Wa?y Jagiello?skie,Wa?y Jagiello?skie,,?RÓDMIE?CIE,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Wa?y Piastowskie,Wa?y Piastowskie,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wapiennicza,Wapiennicza,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wartka,Wartka,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Warzywnicza,Warzywnicza,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
We?niarska,We?niarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
W?glarska,W?glarska,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
W?ze? Groddecka,W?ze? im. Carla Groddecka,Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
W?ze? Kliniczna,W?ze? Kliniczna,Inne,M?YNISKA,,,,,,,,,,,,,,,,,,,2
W?ze? Unii Europejskiej,W?ze? Unii Europejskiej,Inne,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wielkie M?yny,Wielkie M?yny,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wielopole,Wielopole,,LETNICA,x,,,x,,,,x,,,x,,x,,,x,,,2
Wierzbowa,Wierzbowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Wies?awa,Wies?awa,,?RÓDMIE?CIE,,x,,x,,x,x,,x,,x,,,x,,x,,x,2
Wi?cierze,Wi?cierze,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wilcza,Wilcza,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wilków Morskich,Wilków Morskich,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Wiosny Ludów,Wiosny Ludów,,?RÓDMIE?CIE,x,,,x,,,x,,x,,x,,x,,,x,,,2
Wi?lna,Wi?lna,,LETNICA,,,,,,,,,,,,,,,,,,,2
W?adys?awa IV,W?adys?awa IV,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Wodopój,Wodopój,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Wolno?ci,Wolno?ci,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Wróbla,Wróbla,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Wrzosy,Wrzosy,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Wspornikowa,Wspornikowa,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Wydmy,Wydmy,,STOGI ,,,,,,,,,,,,,,,,,,,2
Wygon,Wygon,,?RÓDMIE?CIE,x,,,x,,,,x,,,x,,x,,,x,,,2
Wyzwolenia,Wyzwolenia,,NOWY PORT,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Za Murami,Za Murami,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Zab?otna,Zab?otna,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Zakole,Zakole,,STOGI ,x,,,x,,,x,,,x,,,x,,,x,,,2
Zalesie,Zalesie,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Za?ogowa,Za?ogowa,,LETNICA,,,,,,,,,,,,,,,,,,,2
Zamkowa,Zamkowa,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Zaro?lak,Zaro?lak,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Zau?ek Ormia?ski,Zau?ek Ormia?ski,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Zau?ek ?w. Bart?omieja,Zau?ek ?w. Bart?omieja,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
Zau?ek Zappio,Zau?ek Zachariasza Zappio,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Zawodników,Zawodników,,?RÓDMIE?CIE,,,,,,,,,,,,,,,,,,,2
Zbytki,Zbytki,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Zielona,Zielona,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
Zielony Trójk?t,Zielony Trójk?t,,M?YNISKA,x,,x,,x,,,x,,,x,,x,,x,,x,,2
Zimna,Zimna,,STOGI ,x,,x,,x,,x,,,x,,,x,,x,,x,,2
Z?otników,Z?otników,,?RÓDMIE?CIE,x,,x,,x,x,x,,x,,x,,x,,x,,x,x,2
?abi Kruk,?abi Kruk,,?RÓDMIE?CIE,x,,x,,x,,x,,x,,x,,x,,x,,x,,2
?aglowa,?aglowa,,LETNICA,,,,,,,,,,,,,,,,,,,2
?ytnia,?ytnia,,?RÓDMIE?CIE,x,,,x,,,x,,,,x,,x,,,x,,,2
,,,,,,,,,,,,,,,,,,,,,,
,,,Legenda:,,,,,Brak zabudowy wielolokalowej na danej ulicy,,,,,,,,,,,,,,
