,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Wiewiórcza,Wiewiórcza,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Wieżycka,Wieżycka,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Wileńska,Wileńska,"44 do końca parz., 37 do końca nieparz.",PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Winnicka,Winnicka,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Wiśniowa,Wiśniowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Wita Stwosza,Wita Stwosza,62A-104 parz.,VII DWÓR,,x,,,x,,,,,x,,x,,x,,,x,,6
Wołkowyska,Wołkowyska,,PIECKI-MIGOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Wyczółkowskiego,Leona Wyczółkowskiego,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Wyrobka,Romana Wyrobka,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Zabłockiego,Franciszka Zabłockiego,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Zacna,Zacna,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Zagórna,Zagórna,,SIEDLCE,x,,x,,,,,,x,,x,,x,,x,,,,6
Zagrodowa,Zagrodowa,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Zakoniczyńska,Zakoniczyńska,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Zakopiańska,Zakopiańska,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Zakosy,Zakosy,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Zamojska,Zamojska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Zielone Wzgórze,Zielone Wzgórze,,BRĘTOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Zielony Stok,Zielony Stok,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Związku Jaszczurczego,Związku Jaszczurczego,,PIECKI-MIGOWO,x,,,,x,,,x,,,x,,x,,,,x,,6
Zwierkowskiego,Jerzego Zwierkowskiego,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Żylewicza,Józefa Żylewicza,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
,,,,,,,,,,,,,,,,,,,,,,
,,,Legenda:,,,,,Brak zabudowy wielolokalowej na danej ulicy,,,,,,,,,,,,,,
,,,,,,,,Zmiana dnia wywozu odpadów mokrych,,,,,,,,,,,,,,
