,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Giedroycia,Jerzego Giedroycia,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Gierymskiego,Maksymiliana Gierymskiego,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Głogowska,Głogowska,,VII DWÓR,x,,,x,,,,,,x,,x,x,,,x,,,6
Głuszca,Głuszca,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Gojawiczyńskiej,Poli Gojawiczyńskiej,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Gorzowska,Gorzowska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Goszczyńskiego,Seweryna Goszczyńskiego,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Góralska,Góralska,,BRĘTOWO,x,,,x,,,x,,,x,,,x,,,x,,,6
Górzysta,Górzysta,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Grota-Roweckiego,gen. Stefana Grota-Roweckiego,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Gryglewskiego,Aleksandra Gryglewskiego,,VII DWÓR,x,,x,,x,,,,,x,,x,x,,x,,x,,6
Guderskiego,Konrada Guderskiego,1-42,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,,x,,,x,,x,,,x,,,6
Hausbrandta,prof. Stefana Hausbrandta,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Havla,Aleja Vaclava Havla,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Herlinga - Grudzińskiego,Gustawa Herlinga - Grudzińskiego,,BRĘTOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Huenefelda,Andrzeja Huenefelda,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,,x,,,x,,x,,,x,,,6
I Brygady,I Brygady,,UJEŚCISKO-ŁOSTOWICE,x,,x,,,,,x,,,x,,x,,x,,,,6
II Brygady,II Brygady,,UJEŚCISKO-ŁOSTOWICE,x,,x,,,,,x,,,x,,x,,x,,,,6
Jarzębinowa,Jarzębinowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Jasna,Jasna,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Jaśkowa Dolina,Jaśkowa Dolina,"130 do końca parz., 101 do końca nieparz.",PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
Jaworzniaków,Jaworzniaków,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,,x,,,x,,x,,,x,,,6
Jeleniogórska,Jeleniogórska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Kaliska,Kaliska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Kamieńskiego,Macieja Kamieńskiego,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Kampinoska,Kampinoska,1-5,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Karkonoska,Karkonoska,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Karskiego,Jana Karskiego,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Kartuska,Kartuska,"1-251, 2-212",SIEDLCE,x,,,x,,,,,x,,,x,x,,,x,,,6
Kartuska,Kartuska,253-323,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,,,x,,,x,x,,,x,,,6
Kartuska,Kartuska,214-244,SIEDLCE,,x,,,x,,,,x,,,x,,x,,,x,,6
Kartuska,Kartuska,244-328,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,,,x,,,x,,x,,,x,,6
Kartuska,Kartuska,120-126,SIEDLCE,x,x,x,x,x,x,,,x,,,x,x,x,x,x,x,x,6
Kielecka,Kielecka,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Kłoczkowskiego,Wacława Kłoczkowskiego,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Kłopot,Kłopot,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Kolonia Wyżyny,Kolonia Wyżyny,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Kolonia Zręby,Kolonia Zręby,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Kolumba,Krzysztofa Kolumba,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Kołodzieja,Mariana Kołodzieja,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Koszalińska,Koszalińska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Kościelna,Kościelna,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Krasnoludków,Krasnoludków,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Królewskie Wzgórze,Królewskie Wzgórze,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Kruczkowskiego,Leona Kruczkowskiego,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Kureckiej ,Marii Kureckiej ,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Kurpińskiego,Karola Kurpińskiego,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Kurzyńskiego,Ignacego Kurzyńskiego,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Kusocińskiego,Janusza Kusocińskiego,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Legendy,Legendy,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Legnicka,Legnicka,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Lema,Stanisława Lema,"2-28 parz., 1-19 nieparz.",PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Lema,Stanisława Lema,30 do końca parz.,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Lema,Stanisława Lema,21 do końca nieparz.,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Leśna Góra,Leśna Góra,,BRĘTOWO,x,,,x,,,x,,,x,,,x,,,x,,,6
Leśny Potok,Leśny Potok,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Liliowa,Liliowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Lipowa,Lipowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Liszta,Franciszka Liszta,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Lubelska,Lubelska,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,,x,,,x,,,x,,6
Łabędzia,Łabędzia,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Łostowicka,Łostowicka,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Łódzka,Łódzka,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Macierzy Szkolnej,Macierzy Szkolnej w Gdańsku,,VII DWÓR,x,,,x,,,,,x,,,x,x,,,x,,,6
Magellana,Magellana,,PIECKI-MIGOWO,x,,,x,,,,x,,,x,,x,,,x,,,6
Magnoliowa,Magnoliowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Malczewskiego,Jacka Malczewskiego,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Małcużyńskiego,Witolda Małcużyńskiego,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Marusarzówny,Heleny Marusarzówny,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Matecznikowa,Matecznikowa,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Matemblewska,Matemblewska,,BRĘTOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Mazowiecka,Mazowiecka,,BRĘTOWO,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Mehoffera,Józefa Mehoffera,,VII DWÓR,x,,,x,,,,x,,,,x,x,,,x,,,6
Michałowskiego,Piotra Michałowskiego,,VII DWÓR,x,,x,,x,,,,,x,,x,x,,x,,x,,6
Miłosza,Czesława Miłosza,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Morenowa,Morenowa,,PIECKI-MIGOWO,x,,x,,x,,,x,,,,x,x,,x,,x,,6
Morenowe Wzgórze,Morenowe Wzgórze,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Mozarta,Wolfganga Mozarta,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Myczkowskiego,prof. Stefana Myczkowskiego,,PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
Myśliwska,Myśliwska,"22,24,26,33,46F,48,61,78,82,97,98",PIECKI-MIGOWO,x,,,x,,,,x,,,x,,x,,,x,,,6
Myśliwska,Myśliwska,46,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Myśliwskie Wzgórze,Myśliwskie Wzgórze,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Na Zboczu,Na Zboczu,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Nad Jarem,Nad Jarem,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Nałkowskiej,Zofii Nałkowskiej,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Narewska,Narewska,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Nidzicka,Nidzicka,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Niedźwiednik,Niedźwiednik,,BRĘTOWO,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Niepołomicka,Niepołomicka,1-33,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Nobla,Alfreda Nobla,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Norblina,Piotra Norblina,,VII DWÓR,x,,x,,x,,,,,x,,x,x,,x,,x,,6
Noskowskiego,Zygmunta Noskowskiego,,SUCHANINO ,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Notecka,Notecka,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Nowiec,Nowiec,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Nowolipie,Nowolipie,,SIEDLCE,x,,,x,,,x,,x,,,,x,,,x,,,6
Nowosądecka,Nowosądecka,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Ogińskiego,Michała Ogińskiego,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Ogrodowa,Ogrodowa,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Ogryczaków,Romana i Apolonii Ogryczaków,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Ojcowska,Ojcowska,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Olchowa,Olchowa,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,x,,,x,,,x,,,x,,,6
Orańska,Orańska,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Orląt Lwowskich,Orląt Lwowskich,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Orłowskiego,Aleksandra Orłowskiego,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Ostrołęcka,Ostrołęcka,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Otwarta,Otwarta,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Paderewskiego,Ignacego Paderewskiego,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Paganiniego,Niccola Paganiniego,,SUCHANINO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Pagórkowa,Pagórkowa,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Paneckiego,dr. Władysława Paneckiego,,VII DWÓR,x,,x,,x,,,,,x,,x,x,,x,,x,,6
Pankiewicza,Józefa Pankiewicza,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Pascala,Blaise’a Pascala,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Paska,Jana Chryzostoma Paska,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Pasteura,Ludwika Pasteura,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Piecewska,Piecewska,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Piekarnicza,Piekarnicza,,PIECKI-MIGOWO,x,,,x,,,,x,,,x,,x,,,x,,,6
Pienińska,Pienińska,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Piotrkowska,Piotrkowska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Płocka,Płocka,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Pobiedzisko,Pobiedzisko,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Podkarpacka,Podkarpacka,,BRĘTOWO,x,,,x,,,x,,,x,,,x,,,x,,,6
Polanki,Polanki,59-118,VII DWÓR,x,,,,x,,,,,x,,x,x,,,,x,,6
Popradzka,Popradzka,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Porębskiego,Kazimierza Porębskiego,,UJEŚCISKO-ŁOSTOWICE,x,,,x,,,,x,,,x,,x,,,x,,,6
Potokowa,Potokowa,,BRĘTOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Potyrały,Aleksandra Potyrały,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Powstania Kościuszkowskiego,Powstania Kościuszkowskiego,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Powstania Listopadowego,Powstania Listopadowego,,PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
Powstania Styczniowego,Powstania Styczniowego,,PIECKI-MIGOWO,x,,,,x,,,x,,,x,,x,,,,x,,6
Powstańców Warszawskich,Powstańców Warszawskich,"66, 70",SUCHANINO,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Powstańców Warszawskich,Powstańców Warszawskich,"1-43 nieparz., 57-71 nieparz.",SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Powstańców Warszawskich,Powstańców Warszawskich,"oprócz 66, 70",SUCHANINO,x,,,x,,,,,x,,x,,x,,,x,,,6
Przebiśniegowa,Przebiśniegowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Przemyska,Przemyska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Raciborskiego,prof. Mariana Raciborskiego,,PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
Radomska,Radomska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Rakoczego,Franciszka Rakoczego,,PIECKI-MIGOWO,,x,,,x,,,x,,,x,,,x,,,x,,6
Rodakowskiego,Henryka Rodakowskiego,,VII DWÓR,x,,x,,x,,,,,x,,x,x,,x,,x,,6
Rondo de La Salle ,Rondo im. Św. Jana de La Salle ,Inne,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Rondo Hakenbergera ,Rondo im. Andrzeja Hakenbergera ,Inne,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Rondo Hakenbergera ,Rondo im. Andrzeja Hakenbergera ,Inne,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Rondo Kuronia ,Rondo Jacka Kuronia ,Inne,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Rosiczki,Rosiczki,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Rylkego,Aleksandra Rylkego,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Sanocka,Sanocka,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Sasankowa,Sasankowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Schuberta,Franciszka Schuberta,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Schumana,Roberta Schumana,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Siemiradzkiego,Henryka Siemiradzkiego,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Skarpowa,Skarpowa,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Skrajna,Skrajna,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Skwer Wilczewskiego,Skwer Ignacego Wilczewskiego,Inne,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Słoneczna Dolina,Słoneczna Dolina,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Słowackiego,Juliusza Słowackiego,"92-132A parz., 83-155 nieparz.",BRĘTOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Sołecka,Sołecka,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Sośnickiego,Kazimierza Sośnickiego,,VII DWÓR,,,,,,,,,,,,,,,,,,,6
Sowia,Sowia,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Sowińskiego,gen. Józefa Sowińskiego,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Starodworska,Starodworska,,SIEDLCE,x,,x,,x,,,,x,,x,,x,,x,,x,,6
Stolema,Stolema,1-19,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Struga,Andrzeja Struga,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Szara,Szara,,SIEDLCE,,x,,,x,,,,x,,x,,,x,,,x,,6
Szczodra,Szczodra,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Szymbarska,Szymbarska,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Śliwkowa,Śliwkowa,,UJEŚCISKO-ŁOSTOWICE,,,,,,,,,,,,,,,,,,,6
Św. Huberta,Św. Huberta,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Świętokrzyska,Świętokrzyska,22 do końca,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Świrskiego,Jerzego Świrskiego,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Taborowa,Taborowa,,SUCHANINO,x,,,,x,,,x,,,x,,x,,,,x,,6
Tarasy,Tarasy,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
Tarnowska,Tarnowska,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Tischnera,ks. Józefa Tischnera,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Trzy Lipy ,Trzy Lipy ,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Tylewskiego,Tadeusza Tylewskiego,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Ujeścisko,Ujeścisko,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
Unruga,Józefa Unruga,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,x,,,x,,,,x,,,x,,6
VII Dwór,VII Dwór,,VII DWÓR,,x,,,x,,,,,x,,x,,x,,,x,,6
Volty,Aleksandra Volty,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Wadowicka,Wadowicka,,UJEŚCISKO-ŁOSTOWICE,x,,x,,x,,x,,,x,,,x,,x,,x,,6
Wagnera,Ryszarda Wagnera,,SUCHANINO,,,,,,,,,,,,,,,,,,,6
Waldorffa,Jerzego Waldorffa,,BRĘTOWO,,x,,,x,,x,,,x,,,,x,,,x,,6
Warneńska,Warneńska,,PIECKI-MIGOWO,x,,x,,x,,,x,,,x,,x,,x,,x,,6
Warszawska,Warszawska,,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,,x,,,x,,,x,,,x,,6
Wesoła,Wesoła,,SIEDLCE,,,,,,,,,,,,,,,,,,,6
Wichrowe Wzgórze,Wichrowe Wzgórze,,BRĘTOWO,,,,,,,,,,,,,,,,,,,6
Widok,Widok,,PIECKI-MIGOWO,,,,,,,,,,,,,,,,,,,6
Wielkopolska,Wielkopolska,1-47,UJEŚCISKO-ŁOSTOWICE,,x,,,x,,,,x,,x,,,x,,,x,,6
Wieniawskiego,Józefa Wieniawskiego,,SIEDLCE,x,,,x,,,,,x,,x,,x,,,x,,,6
