,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Akacjowa,Akacjowa,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Aldony,Aldony,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Arciszewskiego,Krzysztofa Arciszewskiego,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Augusta,Zygmunta Augusta,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Baczyńskiego,Krzysztofa Kamila Baczyńskiego,,WRZESZCZ DOLNY,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Barokowa,Barokowa,,WRZESZCZ GÓRNY,,,x,,x,,x,,,x,,,,,x,,x,,3
Batorego,Stefana Batorego,33-39,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Batorego,Stefana Batorego,pozostałe numery,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Biała,Biała,"1, 3, 6",WRZESZCZ DOLNY ,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Biała,Biała,pozostałe numery,WRZESZCZ DOLNY ,x,,,x,,,x,,,x,,,x,,,x,,,3
Białoszewskiego,Mirona Białoszewskiego,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Boh. Getta Warszawskiego,Bohaterów Getta Warszawskiego,,WRZESZCZ DOLNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Bohomolca,Franciszka Bohomolca,,WRZESZCZ DOLNY,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Bracka,Bracka,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Broniewskiego,Władysława Broniewskiego,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Brożka,Jana Brożka,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Brzeźnieńska,Brzeźnieńska,,BRZEŹNO,x,,,x,,,x,,x,,,,x,,,x,,,3
Brzozowa,Brzozowa,,WRZESZCZ GÓRNY,x,,,,x,,,x,,,x,,x,,,,x,,3
Brzozowa,Brzozowa,,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Ceglana,Ceglana,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Chodkiewicza,Karola Chodkiewicza,17,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Chodkiewicza,Karola Chodkiewicza,pozostałe numery,BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Chodowieckiego,Daniela Chodowieckiego,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Chopina,Fryderyka Chopina,"40, 44",STRZYŻA ,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Chopina,Fryderyka Chopina,pozostałe numery,STRZYŻA ,,x,,,x,,x,,,x,,,,x,,,x,,3
Chrobrego,Bolesława Chrobrego,pozostałe numery,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Chrobrego,Bolesława Chrobrego,"10-12, 14-18-20",WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Chrzanowskiego,Bernarda Chrzanowskiego,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Cicha,Cicha,,BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Cybulskiego,Zbigniewa Cybulskiego,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Czarna,Czarna,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Czarnieckiego,Stefana Czarnieckiego,,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Ćwiklińskiej,Mieczysławy Ćwiklińskiej,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Daliowa,Daliowa,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Dantyszka,Jana Dantyszka,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Danusi,Danusi,6,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Danusi,Danusi,pozostałe numery,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Dąbrowskiego,gen. Henryka Dąbrowskiego,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
de Gaulle’a,gen. de Gaulle’a,,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Dekerta,Jana Dekerta,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Deotymy,Deotymy,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Dębinki,Dębinki,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Dębowa,Dębowa,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Dmowskiego,Romana Dmowskiego,"1A, 16, 16A",WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Dmowskiego,Romana Dmowskiego,pozostałe numery,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Do Studzienki,Do Studzienki,"11, 15, 17, 18/20, 21, 24, 31C, 37, 49",WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Do Studzienki,Do Studzienki,pozostałe numery,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Dubois,Stanisława Dubois,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Dunikowskiego,Ksawerego Dunikowskiego,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Dworska,Dworska,"10, 22, 28",BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Dworska,Dworska,"8, 24, 26, 30",BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Dziekuć-Maleja,Łukasza Dziekuć-Maleja,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Dzielna,Dzielna,,WRZESZCZ DOLNY,,x,,,x,,,,x,,x,,,x,,,x,,3
Dźwigowa,Dźwigowa,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Fahrenheita,Daniela Fahrenheita,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Falista,Falista,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Fiszera,gen. Józefa Fiszera,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Fitelberga,Grzegorza Fitelberga,,STRZYŻA,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Focha,marsz. Ferdynanda Focha,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Fredry,Aleksandra Fredry,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Galla,Iwo Galla,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Gałczyńskiego,Konstantego Ildefonsa Gałczyńskiego,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Gdańska,Gdańska,"12, 28 AB",BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Gdańska,Gdańska,pozostałe numery,BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Giełguda,gen. Antoniego Giełguda,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
