,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Glinki,Michała Glinki,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Gołębia,Gołębia,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Gomółki,Mikołaja Gomółki,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Gomulickiego,Wiktora Gomulickiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Gotycka,Gotycka,,WRZESZCZ GÓRNY,,,x,,x,,x,,,x,,,,,x,,x,,3
Górnicza,Górnicza,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Grażyny,Grażyny,,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Grodzieńska,Grodzieńska,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Grudziądzka,Grudziądzka,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Grunwaldzka,Aleja Grunwaldzka,"2-128, 161-182",WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Grunwaldzka,Aleja Grunwaldzka,7-135,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Grunwaldzka,Aleja Grunwaldzka,"26A, 26-28, 119, 121",WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Grunwaldzka,Aleja Grunwaldzka,203-244,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Grzegorza z Sanoka,Grzegorza z Sanoka,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Gwiazdowskiego,Tadeusza Gwiazdowskiego,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Hallera,Aleja gen. Józefa Hallera,"107, 227, 239, 241",BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Hallera,Aleja gen. Józefa Hallera,"117, 139, 153, 229",ANIOŁKI,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Hallera,Aleja gen. Józefa Hallera,1C,BRZEŹNO,x,,,x,,,,x,,,x,,x,,,x,,,3
Hallera,Aleja gen. Józefa Hallera,"233, 235",WRZESZCZ DOLNY,x,x,x,x,x,,,,x,,x,,x,x,x,x,x,,3
Hallera,Aleja gen. Józefa Hallera,"4, 10, 14, 50, 88, 92, 106, 120",WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Hemara,Mariana Hemara,,STRZYŻA,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Herbowa,Herbowa,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Hoene-Wrońskiego,Józefa Hoene-Wrońskiego,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Hubala,mjr. Hubala,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Jantarowa,Jantarowa,21 do końca,BRZEŹNO,x,,,x,,,,x,,,x,,x,,,x,,,3
Jarowa,Jarowa,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Jaśkowa Dolina,Jaśkowa Dolina,"2-116 parz., 1-93 nieparz.",WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Jesionowa,Jesionowa,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Karłowicza,Mieczysława Karłowicza,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Kiepury,Jana Kiepury,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Kilińskiego,Jana Kilińskiego,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Kisielewskiego,Stefana Kisielewskiego,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Kliniczna,Kliniczna,,WRZESZCZ DOLNY,x,,,x,,,,,x,,x,,x,,,x,,,3
Klonowa,Klonowa,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Klonowicza,Sebastiana Klonowicza,,WRZESZCZ DOLNY,,x,,,x,,,,x,,x,,,x,,,x,,3
Kmieca,Kmieca,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Kobieli,Bogumiła Kobieli,,BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Kochanowskiego,Jana Kochanowskiego,"39, 47, 114-120",WRZESZCZ DOLNY,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Kochanowskiego,Jana Kochanowskiego,75,WRZESZCZ DOLNY,x,,,x,,,,,x,,x,,x,,,x,,,3
Kochanowskiego,Jana Kochanowskiego,pozostałe numery,WRZESZCZ DOLNY,,x,,,x,,,,x,,x,,,x,,,x,,3
Kolberga,Oskara Kolberga,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Kolejarzy,Kolejarzy,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Kolejowa,Kolejowa,,ANIOŁKI,,,,x,,,,x,,,x,,,,,x,,,3
Kolonia Jordana,Kolonia Jordana,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Kolonia Ochota,Kolonia Ochota,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Kolonia Praca,Kolonia Praca,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Kolonia Przybyszewskiego,Kolonia Stanisława Przybyszewskiego,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Kolonia Uroda,Kolonia Uroda,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Kolonia Żeńcy,Kolonia Żeńcy,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Kołłątaja,Hugo Kołłątaja,,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Konarskiego,Stanisława Konarskiego,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Konopnickiej,Marii Konopnickiej,5,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Konopnickiej,Marii Konopnickiej,pozostałe numery,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Konwalii,Konwalii,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Kopalniana,Kopalniana,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Kopernika,Mikołaja Kopernika,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Korzeniowskiego,Konrada Korzeniowskiego,"19/21, 22, 28",BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Korzeniowskiego,Konrada Korzeniowskiego,pozostałe numery,BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Kossaka,Juliusza Kossaka,,WRZESZCZ GÓRNY,,x,,,x,,,,x,,x,,,x,,,x,,3
Kościuszki,Tadeusza Kościuszki,118A,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Kościuszki,Tadeusza Kościuszki,pozostałe numery,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Kotarbińskiego,Józefa Kotarbińskiego,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Kozietulskiego,Jana Kozietulskiego,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Krasickiego,Ignacego Krasickiego,,BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Kraszewskiego,Józefa Kraszewskiego,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Kręta,Kręta,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Krzemienieckiej,Lucyny Krzemienieckiej,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Kubacza,Franciszka Kubacza,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Kunickiego,Stanisława Kunickiego,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Leczkowa,Konrada Leczkowa,,WRZESZCZ DOLNY,,x,,x,,,x,,,x,,,,x,,x,,,3
Legionów,Aleja Legionów,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Lelewela,Joachima Lelewela,,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Lendziona,Antoniego Lendziona," 9/10, 17, 18, 56",WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Lendziona,Antoniego Lendziona,pozostałe numery,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Lengnicha,Gotfryda Lengnicha,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Leśny Stok,Leśny Stok,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Lilli Wenedy,Lilli Wenedy,,WRZESZCZ DOLNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Lindego,Samuela Lindego,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Lipińskiego,Karola Lipińskiego,,STRZYŻA,x,,,x,,,x,,,x,,,x,,,x,,,3
Ludowa,Ludowa,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Lwowska,Lwowska,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Łamana,Łamana,,BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Łozy,Łozy,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Łukasiewicza,Ignacego Łukasiewicza,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Makuszyńskiego,Kornela Makuszyńskiego,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Małachowskiego,Stanisława Małachowskiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Małoogrodowa,Małoogrodowa,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Manifestu Połanieckiego,Manifestu Połanieckiego,,WRZESZCZ DOLNY,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Matejki,Jana Matejki,8,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Matejki,Jana Matejki,pozostałe numery,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Matki Polki,Matki Polki,,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Mazurska,Mazurska,"9, 15/17",BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Mazurska,Mazurska,19/21,BRZEŹNO,x,,,,x,,,,x,,x,,x,,,,x,,3
Mickiewicza,Adama Mickiewicza,"1-3, 18",WRZESZCZ DOLNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Mickiewicza,Adama Mickiewicza,"oprócz 1-3, 18",WRZESZCZ DOLNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Miedziana,Miedziana,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Mierosławskiego,Ludwika Mierosławskiego,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Migowska,Migowska,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Miła,Miła,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Miszewskiego,ks. Leona Miszewskiego,3,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Miszewskiego,ks. Leona Miszewskiego,pozostałe numery,WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Młodzieży Polskiej,Młodzieży Polskiej,,BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Modrzewiowa,Modrzewiowa,,WRZESZCZ DOLNY,,x,,,x,,,,x,,x,,,x,,,x,,3
Modrzewskiego,Andrzeja Modrzewskiego,,WRZESZCZ DOLNY,,x,,,x,,,,x,,x,,,x,,,x,,3
Moniuszki,Stanisława Moniuszki,15/27,STRZYŻA,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Moniuszki,Stanisława Moniuszki,36,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Na Wzgórzu,Na Wzgórzu,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Nad Stawem,Nad Stawem,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Nadmorski Dwór,Nadmorski Dwór,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Narutowicza,Gabriela Narutowicza,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Niemcewicza,Juliana Niemcewicza,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Norwida,Cypriana Kamila Norwida,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Nowowiejskiego,Feliksa Nowowiejskiego,,STRZYŻA,,x,,,x,,x,,,x,,,,x,,,x,,3
Obywatelska,Obywatelska,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Okrzei,Stefana Okrzei,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Oksywska,Oksywska,,BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Olszewskiego,Karola Olszewskiego,,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Orla,Orla,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Orzeszkowej,Elizy Orzeszkowej,,ANIOŁKI,,x,,,x,,,x,,,x,,,x,,,x,,3
Osterwy,Juliusza Osterwy,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Ostroroga,Jana Ostroroga,,WRZESZCZ DOLNY,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Ostrowskiej,Róży Ostrowskiej,,WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Park Akademicki,Park Akademicki,Inne,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Park Brzeźnieński,Park Brzeźnieński im. Jana Jerzego Haffnera,Inne,BRZEŹNO,x,,x,,,,,,x,,x,,x,,x,,,,3
Park Steffensów,Park im. Steffensów,Inne,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Park XXV-lecia PRL,Park XXV-lecia Polskiej Rzeczypospolitej Ludowej ,Inne,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Partyzantów,Partyzantów,"57, 60, 74, 99-109",WRZESZCZ GÓRNY,x,,x,,x,,x,,,x,,,x,,x,,x,,3
Partyzantów,Partyzantów,"13, 15, 20, 29, 35-45",WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Partyzantów,Partyzantów,"49, 51, 54, 56, 59, 61, 62, 64-66, 68, 72, 85, 118",WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Partyzantów,Partyzantów,"9, 17A",WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Pawłowskiego,Stanisława Pawłowskiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
PCK,Polskiego Czerwonego Krzyża,,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Pestalozziego,Jana Pestalozziego,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Pileckiego,Szczepana Pileckiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Piramowicza,Grzegorza Piramowicza,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Plac Kołodziejskiego,Plac Jerzego Kołodziejskiego,,WRZESZCZ GÓRNY,,,,,,,,,,,,,,,,,,,3
Plac Komorowskiego,Plac ks. Bronisława Komorowskiego,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Plac Maczka,Plac gen. Stanisława Maczka,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Plac Michalaka,Plac dr. Stefana Michalaka,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Plac O’Rourke,Plac bpa. Edwarda O’Rourke,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Plac Piłsudskiego,Plac marsz. Józefa Piłsudskiego,,STRZYŻA,,,,,,,,,,,,,,,,,,,3
Plac Wybickiego,Plac gen. Józefa Wybickiego,,WRZESZCZ DOLNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Plac Zebrań Ludowych ,Plac Zebrań Ludowych ,,ANIOŁKI,,,,,,,,,,,,,,,,,,,3
Plater,Emilii Plater,"2, 2A, 25",BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Plater,Emilii Plater,pozostałe numery,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Płowce,Płowce,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Pniewskiego,Władysława Pniewskiego,,WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Podleśna,Podleśna,,WRZESZCZ GÓRNY,,,x,,x,,x,,,x,,,,,x,,x,,3
Pola,Wincentego Pola,,WRZESZCZ GÓRNY,,x,,,x,,x,,,x,,,,x,,,x,,3
Politechniczna,Politechniczna,"10, 12, 13",WRZESZCZ GÓRNY,,x,,,x,,,x,,,x,,,x,,,x,,3
Politechniczna,Politechniczna,"5, 7, 16A, 17",WRZESZCZ GÓRNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Południowa,Południowa,,BRZEŹNO,,,x,,x,,,,x,,x,,,,x,,x,,3
Poniatowskiego,księcia Józefa Poniatowskiego,,ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Poprzeczna,Poprzeczna,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Portowców,Portowców,,BRZEŹNO,,,,,,,,,,,,,,,,,,,3
Powstańców Warszawskich,Powstańców Warszawskich,"3,18,36",ANIOŁKI,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Powstańców Warszawskich,Powstańców Warszawskich,"oprócz 3,18,36",ANIOŁKI,x,,,x,,,,x,,,x,,x,,,x,,,3
Północna,Północna,,BRZEŹNO,x,,,x,,,,,x,,x,,x,,,x,,,3
Próżna,Próżna,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Prusa,Bolesława Prusa,,WRZESZCZ DOLNY,x,,,x,,,x,,,x,,,x,,,x,,,3
Pstrowskiego,Wincentego Pstrowskiego,,WRZESZCZ DOLNY,,,,,,,,,,,,,,,,,,,3
Pułaskiego,Kazimierza Pułaskiego,"10A, 12A, 13",BRZEŹNO,,x,,,x,,,,x,,x,,,x,,,x,,3
Pułaskiego,Kazimierza Pułaskiego,pozostałe numery,BRZEŹNO,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Puszkina,Aleksandra Puszkina,,WRZESZCZ GÓRNY,x,,,x,,,,x,,,x,,x,,,x,,,3
Racławicka,Racławicka,,WRZESZCZ DOLNY,x,,x,,x,,,,x,,x,,x,,x,,x,,3
Reja,Mikołaja Reja,2-22 parz.,WRZESZCZ DOLNY,x,,x,,x,,,x,,,x,,x,,x,,x,,3
Renesansowa,Renesansowa,,WRZESZCZ GÓRNY,x,,x,,,,x,,,x,,,x,,x,,,,3
Reymonta,Władysława Reymonta,19D,WRZESZCZ GÓRNY,x,,,x,,,x,,,x,,,x,,,x,,,3
