,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [skrócona nazwa],Ulica [pełna nazwa],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Sek
Piastowska,Piastowska,"2-18 parz., 1-13 nieparz.",OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Piastowska,Piastowska,"160 do końca parz., 109 do końca nieparz.",ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Plac Dworcowy,Plac Dworcowy,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Plac Dwóch Miast,Plac Dwóch Miast,,ŻABIANKA-WEJ.-JEL.-TYS.,,,x,,,,,x,,,,,,,x,,,,5
Plac Inwalidów Wojennych,Plac Inwalidów Wojennych,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Plac św. Jana Apostoła,Plac św. Jana Apostoła,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Plac Wyszyńskiego,Plac kardynała Stefana Wyszyńskiego,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Planetarna,Planetarna,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Plejady,Plejady,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Plutona,Plutona,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Poczty Gdańskiej,Poczty Gdańskiej,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Podchorążych,Podchorążych,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Podhalańska,Podhalańska,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Polanki,Polanki,1-58; 119 do końca,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Połczyńska,Połczyńska,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Pomorska,Pomorska,1-8,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Pomorska,Pomorska,9 do końca,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Pomyślna,Pomyślna,,JASIEŃ,,x,,,,,,,,,x,,,x,,,,,5
Porzeczkowa,Porzeczkowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Posejdona,Posejdona,,OSOWA,,,,x,,,,,,,x,,,,,x,,,5
Potęgowska,Potęgowska,,JASIEŃ,,,x,,,,,x,,,,,,,x,,,,5
Poziomkowa,Poziomkowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Pólnicy,Pólnicy,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Prometeusza,Prometeusza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Przyjazna,Przyjazna,,JASIEŃ,,x,,,,,,,,,x,,,x,,,,,5
Przyrodników,Przyrodników,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Przytulna,Przytulna,,JASIEŃ,,x,,,,,,,,,x,,,x,,,,,5
Przywidzka,Przywidzka,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Rabatki,Rabatki,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Radarowa,Radarowa,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Radiowa,Radiowa,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Rakietowa,Rakietowa,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Regatowa,Regatowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Rekowska,Rekowska,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Relaksowa,Relaksowa,,OSOWA,,,x,,,,,x,,,,,,x,,,,,5
Remusa,Remusa,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Rokitnikowa,Rokitnikowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Rondo Kaczmarskiego ,Rondo im. Jacka Kaczmarskiego ,Inne,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Rozwojowa,Rozwojowa,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Różany Stok,Różany Stok,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Rumiankowa,Rumiankowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Rybacka,Rybacka,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Rybińskiego,Opata Jacka Rybińskiego,,OLIWA ,,,,x,,,,x,,,,,,,,x,,,5
Rycerza Blizbora,Rycerza Blizbora,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Rysia,Rysia,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Sarnia,Sarnia,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Satelitarna,Satelitarna,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Saturna,Saturna,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Sąsiedzka,Sąsiedzka,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Schopenhauera,Artura Schopenhauera,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Seleny,Seleny,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Serdeczna,Serdeczna,,JASIEŃ,,x,,,,,,,,,x,,,x,,,,,5
Sianowska,Sianowska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Siedleckiego,prof. Michała Siedleckiego,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Sierakowicka,Sierakowicka,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Sierpniowa,Sierpniowa,,KOKOSZKI,,x,,,,,,x,,,,,,x,,,,,5
Słabego,mjr. Mieczysława Słabego,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Słoneczna,Słoneczna,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Słowackiego,Juliusza Słowackiego,132 do 176.; 157 do 175,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Słowackiego,Juliusza Słowackiego,178 do końca parz.; 177 do końca nieparz.,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Smęgorzyńska,Smęgorzyńska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Smugowa,Smugowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Snycerzy,Snycerzy,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Sobolowa,Sobolowa,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Sołdka,Stanisława Sołdka,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Somińska,Somińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Sopocka,Sopocka,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Spacerowa,Spacerowa,1 do 18,OLIWA,,x,,,,,,x,,,,,,,,x,,,5
Spacerowa,Spacerowa,46 do końca,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Spadochroniarzy,Spadochroniarzy,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Sportowa,Sportowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Stary Rynek Oliwski,Stary Rynek Oliwski,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Stężycka,Stężycka,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Stokłosy,Stokłosy,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Stolema,Stolema,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Storczykowa,Storczykowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Strzelca,Strzelca,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Subisława,Subisława,19 do końca,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Sudomska,Sudomska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Sulmińska,Sulmińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Swarzewska,Swarzewska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Sympatyczna,Sympatyczna,,JASIEŃ,,x,,,,,,,,,x,,,x,,,,,5
Synów Pułku,Synów Pułku,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Syriusza,Syriusza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Szafera,Władysława Szafera,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Szafranowa,Szafranowa,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Szalupowa,Szalupowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Szczęśliwa,Szczęśliwa,,JASIEŃ,,x,,,,,,,,,,,,x,,,,,5
Szczytników,Szczytników,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Sztormowa,Sztormowa,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Szybowcowa,Szybowcowa,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Szynszylowa,Szynszylowa,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Szyprów,Szyprów,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Śmigłowa,Śmigłowa,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Św. Brata Alberta,Św. Brata Alberta,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Świerkowa,Świerkowa,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Świstaka,Świstaka,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Taneczna,Taneczna,,JASIEŃ,,,,,x,,,,,,x,,,,,,x,,5
Tatrzańska,Tatrzańska,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Teleskopowa,Teleskopowa,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Telewizyjna,Telewizyjna,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Teligi,Leonida Teligi,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Temidy,Temidy,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Tetmajera,Kazimierza Tetmajera,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Tezeusza,Tezeusza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Transportowców,Transportowców,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Trapowa,Trapowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Tuchomska,Tuchomska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Turzycowa,Turzycowa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Tymiankowa,Tymiankowa,,KOKOSZKI,x,,,,,,x,,,,,,x,,,,,,5
Tysiąclecia,Tysiąclecia,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Urana,Urana,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Victorii,Victorii,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Wąsowicza,Stanisława Wąsowicza,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Wdzydzka,Wdzydzka,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Wegi,Wegi,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Wejhera,Jakuba Wejhera,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Wendy,Tadeusza Wendy,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Wenus,Wenus,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Westy,Westy,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Węgrzyna,Eugeniusza Węgrzyna,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Węsierska,Węsierska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Widlińska,Widlińska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Wiecka,Wiecka,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Wielewska,Wielewska,,KOKOSZKI,,,x,,,,,,,,x,,,,x,,,,5
Willowa,Willowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Wiłkomirskiego,Kazimierza Wiłkomirskiego,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Wiolinowa,Wiolinowa,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Wiosenna,Wiosenna,,KOKOSZKI,,x,,,,,,x,,,,,,x,,,,,5
Wita Stwosza,Wita Stwosza,"2-58 parz, 1-73 nieparz.",OLIWA ,,,,x,,,,x,,,,,,,,x,,,5
Witkiewicza,Stanisława Witkiewicza,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Włóczników,Włóczników,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Wodnika,Wodnika,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Wojnarskiego,Jana Wojnarskiego,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Wolarza,Wolarza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Woźnicy,Woźnicy,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Wrześniowa,Wrześniowa,,KOKOSZKI,,x,,,,,,x,,,,,,x,,,,,5
Wypoczynkowa,Wypoczynkowa,,ŻABIANKA-WEJ.-JEL.-TYS.,,,,x,,,,x,,,,,,,,x,,,5
Zacisze,Zacisze,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Zajęcza,Zajęcza,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Zaruskiego,Mariusza Zaruskiego,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Zatokowa,Zatokowa,,OSOWA,,,x,,,,,x,,,,,,,x,,,,5
Zbąszyńska,Zbąszyńska,,KOKOSZKI,x,,,,,,,,,x,,,x,,,,,,5
Zbieżna,Zbieżna,,KOKOSZKI,,,,x,,,,,,x,,,,,,x,,,5
Zenitowa,Zenitowa,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Zeusa,Zeusa,,OSOWA,,,,x,,,,,,x,,,,,,x,,,5
Złota Karczma,Złota Karczma,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Złotowska,Złotowska,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Zwierzyniecka,Zwierzyniecka,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Źródlana,Źródlana,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Żeromskiego,Stefana Żeromskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Żubrowa,Żubrowa,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Żukowska,Żukowska,,KOKOSZKI,,,,x,,,,,,x,,,,,,x,,,5
Życzliwa,Życzliwa,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
