,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [skrócona nazwa],Ulica [pełna nazwa],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Sek
Czyżewskiego,Józefa Czyżewskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Damroki,Damroki,,JASIEŃ,,,x,,,,,,,,x,,,,x,,,,5
Daru Pomorza,Daru Pomorza,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Dedala,Dedala,,MATARNIA,,,x,,,,,x,,,,,,,x,,,,5
Delfina,Delfina,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Derdowskiego,Jarosza Henryka Derdowskiego,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Diany,Diany,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Dickmana,Arenda Dickmana,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Dionizosa,Dionizosa,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Dojazdowa,Dojazdowa,,KOKOSZKI,,,x,,,,,x,,,,,,,x,,,,5
Drawska,Drawska,,OSOWA,,x,,,,,,x,,,,,,x,,,,,5
Drzymały,Wojciecha Drzymały,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Egiertowska,Egiertowska,,KOKOSZKI,x,,,,,,,x,,,,,x,,,,,,5
Elewów,Elewów,,MATARNIA,,x,,,,,,x,,,,,,x,,,,,5
Eurydyki,Eurydyki,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Fabryczna,Fabryczna,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
Feniksa,Feniksa,,OSOWA,,,,,x,,,,,,x,,,,,,x,,5
Flisacka,Flisacka,,OLIWA,,,,x,,,,x,,,,,,,,x,,,5
Flisykowskiego,Alfonsa Flisykowskiego,,JASIEŃ,,x,,,,,,x,,,,,,x,,,,,5
Flory,Flory,,OSOWA,,,,x,,,,x,,,,,,,,x,,,5
Fundamentowa,Fundamentowa,,KOKOSZKI,,,,x,,,,x,,,,,,,,x,,,5
