,,Lokalizacja,,,,,
Lp,Dzielnica,Ulica,Numer,Opis,Data,Godzina przyjazdu,Godzina odjazdu
69,Nowy Port,ul. Wyzwolenia,51,(obok hydroforni vis a vis klatki E),11.10.2014,12:05,12:20
70,Nowy Port,ul. Wyzwolenia,6 i 8,(zatoka postojowa),11.10.2014,12:25,12:40
71,Oliwa,ul. Grunwaldzka,591,(parking),18.10.2014,11:50,12:05
72,Oliwa,Ul. Czyżewskiego,14,(parking przy pasażu),18.10.2014,12:15,12:30
73,Oliwa,ul. Karpacka,2,(parking),18.10.2014,12:35,12:50
74,Oliwa,ul. Opacka,9,(na skrzyżowaniu z ul. Tatrzańską),18.10.2014,12:55,13:10
75,Oliwa,ul. Kwietna,5,(plac naprzeciwko budynku),18.10.2014,13:15,13:30
76,Oliwa,ul. Witkiewicza,,(rondo),18.10.2014,13:40,13:55
77,Oliwa,ul. Husa,,(róg Derdowskiego),18.10.2014,14:00,14:15
78,Oliwa,ul. Grottgera,30A,(parking),18.10.2014,14:20,14:35
79,Oliwa,ul. Wita Stwosza,52,(teren za garażami),18.10.2014,14:40,14:55
80,Olszynka,ul. Niwki,8,(obok pojemników selektywnej zbiórki),25.10.2014,13:35,13:50
81,Olszynka,ul. Maki,2,(trafo na skrzyżowaniu z ul. Osiedle),25.10.2014,13:55,14:10
82,Olszynka,ul. Bratki,,(plac przy skrzyżowaniu z ulicą Bluszczową),25.10.2014,14:20,14:35
83,Olszynka,ul. Olszyńska,30,(plac naprzeciwko sklepu),25.10.2014,14:40,14:55
84,Orunia-Św.Wojciech-Lipce,ul. Piaskowa,8,(przy hydroforni),04.10.2014,11:40,11:55
85,Orunia-Św.Wojciech-Lipce,ul. Diamentowa,7,(przy budynku administracji),04.10.2014,12:00,12:15
86,Orunia-Św.Wojciech-Lipce,ul. Równa,14,(parking przy ulicy),04.10.2014,12:25,12:40
87,Orunia-Św.Wojciech-Lipce,ul. Związkowa,8,(plac przy pawilonach),04.10.2014,12:45,13:00
88,Orunia-Św.Wojciech-Lipce,ul. Boczna,11,(plac naprzeciwko budynku),04.10.2014,13:05,13:20
89,Orunia-Św.Wojciech-Lipce,ul. Żuławska,52A,(plac przy ul. Ukośnej),04.10.2014,13:25,13:40
90,Orunia-Św.Wojciech-Lipce,ul. Nowiny,26,(plac obok MiniMarketu),04.10.2014,13:55,14:10
91,Orunia-Św.Wojciech-Lipce,ul. Po Schodkach,17A,(Plac obok budynku),04.10.2014,14:25,14:40
92,Osowa,ul. Orfeusza,24-26,(zatoka przy altanie),27.09.2014,08:30,08:45
93,Osowa,ul. Hermesa,14-56,(parking),27.09.2014,08:50,09:05
94,Osowa,ul. Parysa,6-8,(ulica przed blokiem),27.09.2014,09:10,09:25
95,Osowa,ul. Hery,4A,,27.09.2014,09:30,09:45
96,Osowa,ul. Koziorożca,,(parking na wjeździe - teren Osiedla Koziorożca w Gdańsku Osowej),27.09.2014,09:50,10:05
