,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ulica [nazwa skrócona],Ulica [nazwa pełna],Numery,Dzielnica,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,Pn,Wt,Śr,Cz,Pt,So,sek.
Raduńska,Raduńska,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Ramułta,Stefana Ramułta,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Reformacka,Reformacka,,CHEŁM ,,x,,,x,,,x,,,x,,,x,,,x,,1
Rejenta,Rejenta,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Rejtana,Tadeusza Rejtana,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Rogalińska,Rogalińska,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Rozrażewskiego,bpa. Hieronima Rozrażewskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Równa,Równa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Rubinowa,Rubinowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Rufowa,Rufowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Rumla,Zygmunta Rumla,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Rusałki,Rusałki,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Rybińskiego,Jana Rybińskiego,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Rydygiera,Ludwika Rydygiera,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Rzączyńskiego,Gabriela Rzączyńskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Rzeczna,Rzeczna,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Rzęsna,Rzęsna,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Sandomierska,Sandomierska,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Saneczkarska,Saneczkarska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Sendlerowej,Ireny Sendlerowej,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Serbska,Serbska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Sierpowa,Sierpowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Sikorskiego,Aleja gen.Władysława Sikorskiego,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Sitowie,Sitowie,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Słonecznikowa,Słonecznikowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Słowików,Słowików,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Smętna,Smętna,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Smoleńska,Smoleńska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,,,x,,,x,,x,,,x,,1
Smolna,Smolna,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Sobieszewska,Sobieszewska,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Soplicy,Jacka Soplicy,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Sosnkowskiego,gen. Kazimierza Sosnkowskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Sówki,Sówki,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Srebrna,Srebrna,"9, 8-10, 12, 14, 16, 18, 20, 22, 24, 28, 32, 34",CHEŁM ,x,,x,,x,,x,,x,,x,,x,,x,,x,,1
Srebrna,Srebrna,pozostałe numery,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Starogardzka,Starogardzka,,CHEŁM,x,,,x,,,x,,,x,,,x,,,x,,,1
Steczka,Steczka,,KRAKOWIEC-GÓRKI ZACHODNIE,x,,,,x,,,,x,,,x,x,,,,x,,1
Stoczniowców,Stoczniowców,,CHEŁM ,x,,,x,,,,x,,,x,,x,,,x,,,1
Stogi,Stogi,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Stokrotki,Stokrotki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Stolnika,Stolnika,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Straszyńska,Straszyńska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Stroma,Stroma,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Strzelców Karpackich,Strzelców Karpackich,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Suchanka,Antoniego Suchanka,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Szafirowa,Szafirowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Szarotki,Szarotki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Szermiercza,Szermiercza,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Szkocka,Szkocka,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Szkutnicza ,Szkutnicza ,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Szmaragdowa,Szmaragdowa,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Szopińskiego,Lubomira Szopińskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Szpora,prof. Stanisława Szpora,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Sztutowska,Sztutowska,,RUDNIKI,x,,x,,x,,x,,x,,x,,x,,x,,x,,1
Ścieżki,Ścieżki,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Świbnieńska,Świbnieńska,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Świechockiego,Władysława Świechockiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Świętokrzyska,Świętokrzyska,1-21,CHEŁM,,x,,,x,,,x,,,x,,,x,,,x,,1
Świtezianki,Świtezianki,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Tama Pędzichowska,Tama Pędzichowska,,RUDNIKI,,,,,,,,,,,,,,,,,,,1
Tarcice,Tarcice,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Tarniny,Tarniny,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Telimeny,Telimeny,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Tenisowa,Tenisowa,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Tęczowa,Tęczowa,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Tilgnera,Damazego Tilgnera,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Tomczaka,Ryszarda Tomczaka,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Topazowa,Topazowa,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Trakt Św. Wojciecha,Trakt Św. Wojciecha,"oprócz 161B, 187, 191",ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Trakt Św. Wojciecha,Trakt Św. Wojciecha,"161B, 187, 191",ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Trałowa,Trałowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Tulipanów,Tulipanów,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Turkusowa,Turkusowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,x,,x,,x,,,x,,,x,,x,,x,,1
Turystyczna,Turystyczna,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,x,,,x,,,x,,,1
Ubocze,Ubocze,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Ukośna,Ukośna,,ORUNIA-ŚW. WOJCIECH-LIPCE,x,,,x,,,x,,,x,,,x,,,x,,,1
Ukryta,Ukryta,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Uranowa,Uranowa,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Urocza,Urocza,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Urwista,Urwista,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Uzdrowiskowa,Uzdrowiskowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Wawelska,Wawelska,,CHEŁM ,x,,,x,,,,x,,,x,,x,,,x,,,1
Wąsika,Józefa Wąsika,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Wąskotorowa,Wąskotorowa,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Wąwóz,Wąwóz,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Węgorzowa,Węgorzowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Wielkiego,Kazimierza Wielkiego,,CHEŁM ,x,,,x,,,,,x,,,x,x,,,x,,,1
Wielkopolska,Wielkopolska,48 do końca,CHEŁM,,x,,,x,,,x,,,x,,,x,,,x,,1
Wieniecka,Wieniecka,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Więckowskiego,prof. Józefa Więckowskiego,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Wigierska,Wigierska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Wilanowska,Wilanowska,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Wilgi,Wilgi,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Wiosłowa,Wiosłowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Witosa,Wincentego Witosa,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Wodna,Wodna,,WYSPA SOBIESZEWSKA,x,,,x,,,,x,,,x,,x,,,x,,,1
Wojskiego,Wojskiego,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Wołyńska,Wołyńska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Worcella,Stanisława Worcella,,CHEŁM ,x,,x,,x,,,x,,,x,,x,,x,,x,,1
Wronki,bpa Andrzeja Wronki,,CHEŁM ,x,,,x,,,,x,,,x,,x,,,x,,,1
Wschodnia,Wschodnia,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,,,x,,,x,,x,,,x,,1
Wspólna,Wspólna,,OLSZYNKA,,x,,x,,,,,x,,,x,,x,,x,,,1
Wyciąg,Wyciąg,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Zagony,Zagony,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Zagroble,Zagroble,,RUDNIKI,x,,,x,,,,,x,,,x,x,,,x,,,1
Zamiejska,Zamiejska,32-50,CHEŁM,,x,,,x,,,x,,,x,,,x,,,x,,1
Zamiejska,Zamiejska,1-28,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,x,,,x,,,,x,,,x,,1
Zawackiej,gen. Elżbiety Zawackiej,,CHEŁM,,x,,,x,,x,,,x,,,,x,,,x,,1
Zawiejska,Zawiejska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,,,x,,,x,,x,,,x,,1
Zawilcowa,Zawilcowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Zawiślańska,Zawiślańska,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Zawodzie,Zawodzie,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Zielna,Zielna,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Zielonogórska,Zielonogórska,,CHEŁM ,,,,,,,,,,,,,,,,,,,1
Złota,Złota,,CHEŁM ,,x,,,x,,,,x,,x,,,x,,,x,,1
Zosi,Zosi,,WZGÓRZE MICKIEWICZA,,,,,,,,,,,,,,,,,,,1
Zuchów,Zuchów,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
Związkowa,Związkowa,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,,,x,,,x,,x,,,x,,1
Żabia,Żabia,,ORUNIA-ŚW. WOJCIECH-LIPCE,,,,,,,,,,,,,,,,,,,1
Żaków,Żaków,,KRAKOWIEC-GÓRKI ZACHODNIE,,,,,,,,,,,,,,,,,,,1
Żarnowiecka,Żarnowiecka,,OLSZYNKA,x,,,x,,,,,x,,,x,x,,,x,,,1
Żonkilowa,Żonkilowa,,WYSPA SOBIESZEWSKA,,,,,,,,,,,,,,,,,,,1
Żuławska,Żuławska,,ORUNIA-ŚW. WOJCIECH-LIPCE,,x,,,x,,,,x,,,x,,x,,,x,,1
Żurawia,Żurawia,,OLSZYNKA,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,
,,,Legenda:,,,,,Brak zabudowy wielolokalowej na danej ulicy,,,,,,,,,,,,,,
,,,,,,,,Zmiana dnia wywozu,,,,,,,,,,,,,,
